,normal,metabolite,raw_pvalue(A0_A90),pvalue(A0_A90),significance(A0_A90),rf_importance,pca_value_total,pca_value_ptlist2,pca_value_ptlist1,raw_pvalue(A0_A90_combined),pvalue(A0_A90_combined),significance(A0_A90_combined)
FA(08:0),,FA(08:0),0.000579833984375,0.002739715576171875,1,0.6603761052020038,0.17513140686011167,0.1630200323965067,0.0803739255829348,,,
FA(09:0),,FA(09:0),0.09619703646278294,0.19549720313404276,0,0,,0.11899958328699156,0.08407114345065302,0.09619703646278294,0.16533865642040818,0
FA(10:0),,FA(10:0),3.0517578125e-05,0.000213623046875,1,0.48689805660546864,0.16243656570586348,0.15053887034913754,0.06239209100037275,,,
FA(10:1),,FA(10:1),3.0517578125e-05,0.000213623046875,1,3.6973984068987265,0.17589829960015746,0.1129937119024562,0.09516290977330552,3.0517578125e-05,0.0001678466796875,1
FA(11:0),,FA(11:0),0.02496337890625,0.06552886962890625,0,0,,0.21315735680676046,0.21968114528941565,0.02496337890625,0.054919433593750004,0
FA(12:0),,FA(12:0),9.1552734375e-05,0.0005407333374023438,1,0.40192293030569337,0.06931672619714115,0.058322729901677216,0.0652064950203463,,,
FA(13:0),,FA(13:0),0.013092041015625,0.03866243362426758,1,0.1962327399288037,0.1263460385769194,0.0969077474519086,0.07652000074642881,,,
FA(14:0),,FA(14:0),3.0517578125e-05,0.000213623046875,1,0.6492135260891331,0.17688694212098385,,0.1378730168814698,,,
FA(15:0),,FA(15:0),3.0517578125e-05,0.000213623046875,1,1.070318812551021,0.14413665855949667,0.10520954044689347,0.08980618514260741,3.0517578125e-05,0.0001678466796875,1
FA(16:0),,FA(16:0),3.0517578125e-05,0.000213623046875,1,0.6070214296520154,0.21696757894634847,0.05855272661046938,0.11488293563877083,,,
"FA(16:1, 9Z)",,"FA(16:1, 9Z)",3.0517578125e-05,0.000213623046875,1,0.3304445121338298,0.19284513901884925,0.14152179597562328,0.059918678311265336,,,
FA(17:0),,FA(17:0),0.000152587890625,0.000823974609375,1,2.166300446720964,0.16036174364164085,0.11436957638093097,0.08236689920227264,0.000152587890625,0.0005594889322916667,1
FA(18:0),,FA(18:0),0.001312255859375,0.005767822265625,1,0.32514540826991717,0.1707533881800732,0.05158111163831887,0.07601915539258687,,,
FA(18:1),,FA(18:1),3.0517578125e-05,0.000213623046875,1,1.3297351604948788,0.1961159116715736,0.06416218098209422,0.09573623471403805,,,
FA(18:2),,FA(18:2),0.116668701171875,0.22500392368861608,0,0,,0.11980713226600521,0.046264130652064236,,,
FA(18:3),,FA(18:3),0.03863525390625,0.09361619215745193,0,0,,0.11297573204414864,0.07420469051849016,,,
FA(18:4),,FA(18:4),0.1590576171875,0.2757971527379587,0,0,,0.04434010468228489,0.04292423468184194,,,
FA(19:0),,FA(19:0),0.01824951171875,0.04857968612455986,1,0.1121373121706538,0.12817031481571198,0.07597267488669232,0.07027888944479062,,,
FA(20:0),,FA(20:0),0.14385986328125,0.2614376361553486,0,0,,0.14261662208282647,0.08606678518100715,0.14385986328125,0.23271448471966913,0
FA(20:4),,FA(20:4),0.116668701171875,0.22500392368861608,0,0,,0.06993745840171006,0.0644012865469299,,,
FA(20:5),,FA(20:5),0.002685546875,0.010151367187500001,1,0.15751608407379755,0.12337466284900961,0.12213256141444366,0.011152140623834253,,,
FA(20:6),,FA(20:6),0.19144640357050802,0.3196587813527961,0,0,,0.056902476404780064,0.07562639411457156,,,
FA(21:0),,FA(21:0),0.21142578125,0.335793887867647,0,0,,0.03479508221276712,0.05923429417782524,,,
FA(22:0),,FA(22:0),0.231201171875,0.36113240896177684,0,0,,0.17078687122172856,0.230667385021076,0.231201171875,0.34367741765202703,0
FA(22:1),,FA(22:1),0.000152587890625,0.000823974609375,1,0.4764842078029885,0.38221147164066227,0.20779057624929934,0.1855278474972436,0.000152587890625,0.0005594889322916667,1
FA(22:4),,FA(22:4),0.001007080078125,0.0046423935308689025,1,0.21510792921864663,0.26178948542654656,0.15839406784653992,0.11106078488430053,0.001007080078125,0.0030771891276041665,1
FA(22:5),,FA(22:5),0.0506591796875,0.11820475260416667,0,0,,0.04393702607486439,0.05713295078912196,,,
FA(22:6),,FA(22:6),0.705718994140625,0.8495598082329817,0,0,,0.16614110197295517,0.12071556377301493,0.705718994140625,0.825841376122008,0
FA(23:0),,FA(23:0),0.5618896484375,0.7127325070784396,0,0,,0.04431094241029675,0.04230003821274917,,,
FA(24:0),,FA(24:0),0.0443115234375,0.106011113034019,0,0,,0.12529463568747304,0.15304007573826098,0.0443115234375,0.08704049246651786,0
FA(24:1),,FA(24:1),0.004180908203125,0.0146331787109375,1,0.20462503367400026,0.43175921690342633,0.21379899612061187,0.22022171516021022,0.004180908203125,0.0104522705078125,1
Butyrobetaine,,Butyrobetaine,0.21142578125,0.335793887867647,0,0,,0.10910740277380894,0.15056554870553068,0.21142578125,0.3230116102430556,0
Free carnitine,,Free carnitine,0.02899169921875,0.0740463669235642,0,0,,0.05398997665927555,0.15527525471082126,,,
Acetyl carnitine,,Acetyl carnitine,0.033538818359375,0.084517822265625,0,0,,0.053649676916325884,0.09171922453435076,,,
Propionyl carnitine,,Propionyl carnitine,3.0517578125e-05,0.000213623046875,1,0.6500081818706794,0.19435987151317696,0.04983380723092512,0.11084710871372958,,,
